x_variable,y_variable,R,p_value,n_obs,spearman_r,spearman_p
aire_parc,nb_trajets,-0.116,0.10993323817559109,191,-0.072,0.3225777628167523
nombre_uni,nb_trajets,0.0855,0.239653265486234,191,0.1049,0.1485627500355385
walk_sc_mo,nb_trajets,0.4052,6.0577691563648186e-09,191,0.5499,1.7339650448366192e-16
tran_sc_mo,nb_trajets,0.2731,0.00014359931010685052,189,0.3337,2.6912238705595446e-06
bike_sc_mo,nb_trajets,0.374,9.824167339122936e-08,191,0.444,1.239911747961252e-10
l_m,nb_trajets,0.3229,5.20702257300559e-06,191,0.382,4.976602389296347e-08
l4s_m,nb_trajets,0.3674,1.705004177859374e-07,191,0.4197,1.4993810141752088e-09
p4s_m,nb_trajets,0.2175,0.0025020482236384222,191,0.2777,0.00010066928056857482
np4s_m,nb_trajets,0.2873,5.577417742824724e-05,191,0.2495,0.0004996445869948059
densite_es,nb_trajets,0.2513,0.0004533309298185615,191,0.3269,3.920829553006151e-06
distance_c,nb_trajets,-0.5026,1.2810548680895466e-13,191,-0.5812,1.1902495259197096e-18
densite_lo,nb_trajets,0.293,3.892715124840253e-05,191,0.4054,5.948427503738268e-09
nb_cegep,nb_trajets,0.3303,3.0648259692751594e-06,191,0.2736,0.00012805613331295476
