x_variable,y_variable,R,p_value,n_obs,spearman_r,spearman_p
aire_parc,nb_trajets,0.0087,0.8338249888485949,581,0.2212,7.122682299892821e-08
nombre_uni,nb_trajets,0.1542,0.00019148719909672932,581,0.1408,0.0006658837522099828
walkscore_,nb_trajets,0.3859,4.593186156387256e-22,581,0.7239,2.0908858793016932e-95
transitsco,nb_trajets,0.4402,3.9470216115707175e-28,564,0.5564,3.6534359097271176e-47
bikescore_,nb_trajets,0.4331,5.724159187324738e-28,581,0.5986,8.935354413782075e-58
l_m,nb_trajets,0.2523,4.284486498151887e-08,459,0.2521,4.369244201439952e-08
l4s_m,nb_trajets,0.304,2.8571379577954315e-11,459,0.3227,1.3771305150555754e-12
p4s_m,nb_trajets,0.2357,3.2496681973181474e-07,459,0.2905,2.233264358068241e-10
np4s_m,nb_trajets,0.1711,0.00023157763290879854,459,0.1525,0.0010455003201175952
densite_es,nb_trajets,0.4115,3.766403549339487e-25,581,0.5761,1.1216808617605453e-52
distance_c,nb_trajets,-0.5525,9.458399814886635e-48,581,-0.7909,1.3642903396267245e-125
densite_lo,nb_trajets,0.4819,4.1456764107622e-35,581,0.6529,6.939406659429622e-72
nb_cegep,nb_trajets,0.2517,7.580318217199569e-10,581,0.1728,2.8275841271182613e-05
aire_parc,nb_trajets,-0.0416,0.34265263813302393,522,0.0419,0.3395487058466967
nombre_uni,nb_trajets,0.1501,0.0005782240411250746,522,0.1426,0.0010874572063566627
walkscore_,nb_trajets,0.3738,9.375789900391186e-19,522,0.7117,8.977563557379971e-82
transitsco,nb_trajets,0.4249,1.1003162479098776e-23,508,0.512,2.751230169396998e-35
bikescore_,nb_trajets,0.4321,3.720719297326959e-25,522,0.6092,2.4448063203514113e-54
l_m,nb_trajets,0.2517,4.576328630518297e-08,459,0.2505,5.3669811443307636e-08
l4s_m,nb_trajets,0.3041,2.807795338506158e-11,459,0.3229,1.3420774433301564e-12
p4s_m,nb_trajets,0.2359,3.1599555431520525e-07,459,0.2907,2.157243542857825e-10
np4s_m,nb_trajets,0.1711,0.00023153621645769648,459,0.1525,0.0010455003201175952
densite_es,nb_trajets,0.3575,3.5120853996513805e-17,522,0.4544,5.902087420083977e-28
distance_c,nb_trajets,-0.5698,2.8677029498982276e-46,522,-0.7772,1.1196130115040743e-106
densite_lo,nb_trajets,0.4411,2.927134228678327e-26,522,0.5583,4.0821209089719275e-44
nb_cegep,nb_trajets,0.2603,1.567311281990774e-09,522,0.1717,8.047325497566734e-05
aire_parc,nb_trajets,-0.0416,0.34265263813302393,522,0.0419,0.3395487058466967
nombre_uni,nb_trajets,0.1501,0.0005782240411250746,522,0.1426,0.0010874572063566627
walkscore_,nb_trajets,0.3738,9.375789900391186e-19,522,0.7117,8.977563557379971e-82
transitsco,nb_trajets,0.4249,1.1003162479098776e-23,508,0.512,2.751230169396998e-35
bikescore_,nb_trajets,0.4321,3.720719297326959e-25,522,0.6092,2.4448063203514113e-54
l_m,nb_trajets,0.2517,4.576328630518297e-08,459,0.2505,5.3669811443307636e-08
l4s_m,nb_trajets,0.3041,2.807795338506158e-11,459,0.3229,1.3420774433301564e-12
p4s_m,nb_trajets,0.2359,3.1599555431520525e-07,459,0.2907,2.157243542857825e-10
np4s_m,nb_trajets,0.1711,0.00023153621645769648,459,0.1525,0.0010455003201175952
densite_es,nb_trajets,0.3608,1.7066171303644185e-17,522,0.4603,9.830325600043989e-29
distance_c,nb_trajets,-0.5698,2.8677029498982276e-46,522,-0.7772,1.1196130115040743e-106
densite_lo,nb_trajets,0.444,1.2482448497386452e-26,522,0.5632,5.213292020100807e-45
nb_cegep,nb_trajets,0.2603,1.567311281990774e-09,522,0.1717,8.047325497566734e-05
